annee,pays,nom,valeur
2021,France,"Théâtres nationaux, part des représentations de spectacles mis en scène par des femmes ",27%
2021,France,"Centres dramatiques nationaux et régionaux, part des représentations de spectacles mis en scène par des femmes ",44%
2021,France,"Scènes nationales, part des représentations de spectacles mis en scène par des femmes ",36%
2021,France,"Scènes conventionnées, part des représentations de spectacles mis en scène par des femmes ",39%
2021,France,"Pôles nationaux des arts du cirque, part des représentations de spectacles mis en scène par des femmes ",36%
2021,France,"Centres de développement chorégraphiques, part des représentations de spectacles mis en scène par des femmes ",57%
2021,France,"Théâtres nationaux, Mise en scène de spectacle, part des femmes ",35%
2021,France,"Centres dramatiques nationaux et régionaux, Mise en scène de spectacle, part des femmes ",45%
2021,France,"Scènes nationales, Mise en scène de spectacle, part des femmes ",37%
2021,France,"Scènes conventionnées, Mise en scène de spectacle, part des femmes ",40%
2021,France,"Pôles nationaux des arts du cirque, Mise en scène de spectacle, part des femmes ",40%
2021,France,"Centres de développement chorégraphiques, Mise en scène de spectacle, part des femmes  ",61%
2021,France,"Théâtres nationaux, part des spectacles jeune public mis en scène par des femmes ",25%
2021,France,"Centres dramatiques nationaux et régionaux, part des spectacles jeune public mis en scène par des femmes ",50%
2021,France,"Scènes nationales, part des spectacles jeune public mis en scène par des femmes ",36%
2021,France,"Scènes conventionnées, part des spectacles jeune public mis en scène par des femmes ",45%
2021,France,"Pôles nationaux des arts du cirque, part des spectacles jeune public mis en scène par des femmes ",37%
2021,France,"Centres de développement chorégraphiques, part des spectacles jeune public mis en scène par des femmes ",53%
2021,France,"Théâtres nationaux, écriture de spectacles, part de femmes",26%
2021,France,"Centres dramatiques nationaux et régionaux, écriture de spectacles, part de femmes",31%
2021,France,"Scènes nationales, écriture de spectacles, part de femmes",28%
2021,France,"Scènes conventionnées, écriture de spectacles, part de femmes",29%
2021,France,"Pôles nationaux des arts du cirque, écriture de spectacles, part de femmes",34%
2021,France,"Centres de développement chorégraphiques, écriture de spectacles, part de femmes",48%
2018,France,"Artistes programmé·e·s sur les scènes de jazz, part de femmes",15%
2018,France,"Musicien·ne·s de grands ensembles, part de femmes",14%
2018,France,"Musicien·ne·s de grands ensembles, part de femmes",36%
2020,France,"Élèves dans les départements jazz et musique actuelles amplifiées, part de femmes",35%
2019,France,"Artistes dans les Festivals de musiques actuelles, part de femmes",14%
2019,France,"Compositeur·rice·s dans les Festivals de musiques classiques, part de femmes",8%
2019,France,"Direction musicale dans les Festivals de musiques classiques, part de femmes",8%
2019,France,"Chef·fe·s d’orchestre dans les Festivals de musiques classiques, part de femmes",6%
2019,France,"Direction de chœur dans les Festivals de musiques classiques, part de femmes",23%
2019,France,"Direction de maitrise dans les Festivals de musiques classiques, part de femmes",100%
2019,France,"Chef·fe·s de chant dans les Festivals de musiques classiques, part de femmes",0%
2019,France,"Musicien·ne·s interprètes dans les Festivals de musiques classiques, part de femmes",28%
2019,France,"Solistes dans les Festivals de musiques classiques, part de femmes",32%
2019,France,"Membres des ensembles dans les Festivals de musiques classiques, part de femmes",29%
2018,France,"Photographes, part de femmes",35%
2018,France,"Photographes âgé·e·s de plus de 40 ans, part de femmes",55%
2018,France,"Photographes âgé·e·s de moins de 40 ans, part de femmes",19%
2019,France,"Photographes exposé·e·s dans les festivals, part de femmes",32%
2014,France,"Photographes représenté·e·s dans les collections du cnap, part de femmes",25%
2016,France,"Photographes représenté·e·s dans les acquisitions des frac, part de femmes",40%
2019,France,"Photographes lauréat·e·s de prix, part de femmes",41%
2019,France,"Photographes exposé·e·s à Paris-Photo, part de femmes",25%
2019,France,"Jeu vidéo, pôle création, part de femmes",13%
2019,France,"Jeu vidéo, pôle technologique, part de femmes",3%
2019,France,"Jeu vidéo, pôle production, part de femmes",27%
2018,France,"Audiovisuel, métier de l'image, part de femmes",25%
2018,France,"Audiovisuel, métier du son, part de femmes",11%
2018,France,"Audiovisuel, Écriture et conception de projets, part de femmes",42%
2018,France,"Audiovisuel, Décor, construction, plateau, part de femmes",24%
2018,France,"Audiovisuel, Costume, maquillage, coiffure, part de femmes",87%
2018,France,"Audiovisuel, Interprétation et gestion de la distribution artistique, part de femmes",42%
2020,France,"Auteur·e·s compositeur·rices, sociétaires de la Sacem, part de femmes",17%
2020,France,"Compositeur·rices, sociétaires de la Sacem, part de femmes",9%
2020,France,"Auteur·e·s, sociétaires de la Sacem, part de femmes",30%
2020,France,"Auteur·e·s réalisateur·rice·s sociétaires de la Sacem, part de femmes",17%
2020,France,"Auteur·e·s de doublages et de sous-titrages sociétaires de la Sacem, part de femmes",70%
