annee,pays,nom,valeur
2017-2018,France,"Mis en scène des spectacles jeune public des théâtres nationaux, part de femmes ",40%
2017-2018,France,"Mis en scène des spectacles jeune public des centres dramatiques nationaux et régionaux, part de femmes ",41%
2017-2018,France,"Mis en scène des spectacles jeune public des scènes nationales, part de femmes ",34%
2017-2018,France,"Mis en scène des spectacles jeune public des scènes conventionnées, part de femmes ",36%
2017-2018,France,"Mis en scène des spectacles jeune public des pôles nationaux des arts du cirque, part de femmes ",36%
2017-2018,France,"Mis en scène des spectacles jeune public des centres de développement chorégraphiques, part de femmes ",44%
2017-2018,France,"Mis en scène des spectacles jeune public, ensemble, part de femmes ",36%
2017-2018,France,"Ecriture des spectacles des théâtres nationaux, part de femmes ",17%
2017-2018,France,"Adaptation des spectacles des théâtres nationaux, part de femmes ",25%
2017-2018,France,"Traduction des spectacles des théâtres nationaux, part de femmes ",32%
2017-2018,France,"Mise en scène des spectacles des théâtres nationaux, part de femmes ",32%
2017-2018,France,"Scénographie des spectacles des théâtres nationaux, part de femmes ",38%
2017-2018,France,"Chorégraphie des spectacles des théâtres nationaux, part de femmes ",44%
2017-2018,France,"Ecriture des spectacles des centres dramatiques nationaux et régionaux, part de femmes",20%
2017-2018,France,"Adaptation des spectacles des centres dramatiques nationaux et régionaux, part de femmes",35%
2017-2018,France,"Traduction des spectacles des centres dramatiques nationaux et régionaux, part de femmes",42%
2017-2018,France,"Mise en scène des spectacles des centres dramatiques nationaux et régionaux, part de femmes",34%
2017-2018,France,"Scénographie des spectacles des centres dramatiques nationaux et régionaux, part de femmes",37%
2017-2018,France,"Chorégraphie des spectacles des centres dramatiques nationaux et régionaux, part de femmes",39%
2017-2018,France,"Ecriture des spectacles des scènes nationales, part de femmes",24%
2017-2018,France,"Adaptation des spectacles des scènes nationales, part de femmes",38%
2017-2018,France,"Traduction des spectacles des scènes nationales, part de femmes",42%
2017-2018,France,"Mise en scène des spectacles des scènes nationales, part de femmes",33%
2017-2018,France,"Scénographie des spectacles des scènes nationales, part de femmes",31%
2017-2018,France,"Chorégraphie des spectacles des scènes nationales, part de femmes",37%
2017-2018,France,"Ecriture des spectacles des scènes conventionnées, part de femmes",26%
2017-2018,France,"Adaptation des spectacles des scènes conventionnées, part de femmes",35%
2017-2018,France,"Traduction des spectacles des scènes conventionnées, part de femmes",43%
2017-2018,France,"Mise en scène des spectacles des scènes conventionnées, part de femmes",34%
2017-2018,France,"Scénographie des spectacles des scènes conventionnées, part de femmes",35%
2017-2018,France,"Chorégraphie des spectacles des scènes conventionnées, part de femmes",36%
2017-2018,France,"Ecriture des spectacles des pôles nationaux des arts du cirque, part de femmes",22%
2017-2018,France,"Adaptation des spectacles des pôles nationaux des arts du cirque, part de femmes",27%
2017-2018,France,"Traduction des spectacles des pôles nationaux des arts du cirque, part de femmes",44%
2017-2018,France,"Mise en scène des spectacles des pôles nationaux des arts du cirque, part de femmes",34%
2017-2018,France,"Scénographie des spectacles des pôles nationaux des arts du cirque, part de femmes",30%
2017-2018,France,"Chorégraphie des spectacles des pôles nationaux des arts du cirque, part de femmes",44%
2017-2018,France,"Ecriture des spectacles des centres de développement chorégraphiques, part de femmes",18%
2017-2018,France,"Mise en scène des spectacles des centres de développement chorégraphiques, part de femmes",35%
2017-2018,France,"Scénographie des spectacles des centres de développement chorégraphiques, part de femmes",57%
2017-2018,France,"Chorégraphie des spectacles des centres de développement chorégraphiques, part de femmes",41%
2017-2018,France,"Ecriture des spectacles tous lieux confondus, part de femmes",24%
2017-2018,France,"Adaptation des spectacles tous lieux confondus, part de femmes",35%
2017-2018,France,"Traduction des spectacles tous lieux confondus, part de femmes",42%
2017-2018,France,"Mise en scène des spectacles tous lieux confondus, part de femmes",34%
2017-2018,France,"Scénographie des spectacles tous lieux confondus, part de femmes",34%
2017-2018,France,"Chorégraphie des spectacles tous lieux confondus, part de femmes",37%
2018-2019,France,"Représentations dans des lieux musicaux, part des femmes",15%
2018-2019,France,"Spectacles dans des lieux musicaux, part des femmes",20%
2018-2019,France,"Spectacles jeune public dans des lieux musicaux, part des femmes",32%
