indicator,fr,es
"Artistes exposé·es dans les fonds régionaux d'art contemporain, part des femmes","Artistes exposé·es dans les fonds régionaux d'art contemporain, part de femmes","Artistas expuestos en los fondos regionales de arte contemporáneo, porcentaje de mujeres"
"Artistes exposé·es dans les fonds régionaux d'art contemporain, part des femmes ","Artistes exposé·es dans les fonds régionaux d'art contemporain, part de femmes","Artistas expuestos en los fondos regionales de arte contemporáneo, porcentaje de mujeres"
"Artistes exposé·es dans les centres d'art contemporain, part des femmes ","Artistes exposé·es dans les centres d'art contemporain, part de femmes","Artistas expuestos en los centros de arte contemporáneo, porcentaje de mujeres"
"Acquisitions fonds national d'art contemporain (fnac), part des œuvres de femmes","Acquisitions Fonds national d'art contemporain, part des œuvres de femmes","Adquisiciones fondos nacionales de arte contemporáneo, porcentaje de mujeres"
"Acquisitions fonds régionaux d'art contemporain (frac), part des œuvres de femmes","Acquisitions Fonds régionaux d'art contemporain, part des œuvres de femmes",
"Acquisitions fonds régionaux d'art contemporain (frac), part des œuvres de femmes","Acquisitions Fonds régionaux d'art contemporain, part des œuvres de femmes","Adquisiciones fondos regionales de arte contemporáneo, porcentaje de mujeres"
"Acquisitions Fonds régionaux d'art contemporain (frac), part des œuvres de femmes","Acquisitions Fonds régionaux d'art contemporain (frac), part des œuvres de femmes",
"Acquisitions Fonds national d'art contemporain (fnac), part des œuvres de femmes","Acquisitions Fonds national d'art contemporain, part des œuvres de femmes","Adquisiciones fondos nacionales de arte contemporáneo, porcentaje de mujeres"
"Commissaires d'expositions de grandes expositions, part des femmes","Commissaires de grandes expositions, part de femmes","Comisarios de grandes exposiciones, porcentaje de mujeres"
"A l'antenne, programmes fiction, part des femmes","A l'antenne, programmes fiction, part de femmes","Programas de ficción en antena, porcentaje de mujeres"
"A l'antenne, programmes information, part des femmes","A l'antenne, programmes information, part de femmes","Programas de información en antena, porcentaje de mujeres"
"A l'antenne, magazines et documentaires, part des femmes","A l'antenne, magazines et documentaires, part de femmes","Programas documentales en antena, porcentaje de mujeres"
