indicator,fr,es
Pension moyenne de retraite des femmes par rapport aux hommes,Pension moyenne de retraite des femmes par rapport aux hommes,"Jubilación, promedio de mujeres con respecto a los hombres"
Salaires des femmes par rapport aux hommes,Salaires des femmes par rapport aux hommes,"Salario de mujeres con respecto al de hombres"
Salaires des femmes en équivalent temps plein par rapport aux hommes,Salaires des femmes en équivalent temps plein par rapport aux hommes,"Salario en equivalente de tiempo completo de mujeres con respecto al de hombres"
"A poste et compétences égales, salaires des femmes par rapport aux hommes ","A poste et compétences égales, salaires des femmes par rapport aux hommes ","Salario de mujeres con respecto al de hombres en puestos y competencias iguales"
Salaire dans la fonction publique des femmes par rapport aux hommes,Salaire dans la fonction publique des femmes par rapport aux hommes,"Salario de mujeres en la función pública con respecto al de hombres"
Part des tâches domestiques réalisées par les femmes,Part des tâches domestiques réalisées par les femmes,"Porcentaje de tareas domésticas realizadas por mujeres"
"Université Lettres, sciences humaines, part des femmes","Université Lettres, sciences humaines, part des femmes","Universidad Letras y Ciencias Humanas, porcentaje de mujeres"
"Formations paramédicales et sociales, part des femmes","Formations paramédicales et sociales, part des femmes","Formaciones paramédicas y sociales, porcentaje de mujeres"
"Université Sciences STAPS, part des femmes","Université Sciences et sport STAPS, part des femmes","Universidad Deportes, porcentaje de mujeres"
"Formations d'ingénieurs, part des femmes","Formations d'ingénieur·es, part des femmes","Ingeniería, porcentaje de mujeres"
"Sciences fondamentales et applications,  part des femmes","Sciences fondamentales et applications, part des femmes","Ciencias fondamentales y aplicaciones, porcentaje de mujeres"
"Travail secteur numérique, part des femmes","Travail secteur numérique, part des femmes","Trabajo en el sector digital, porcentaje de mujeres"
Part consacrée à la retransmission du sport féminin à la télévision,Part consacrée à la retransmission du sport féminin à la télévision,"Retransmisión del deporte femenino en la televisión"
"Expert.e.s à la télévision et à la radio, part des femmes","Expert·es à la télévision et à la radio, part des femmes","Expertos en la televisión y la radio, porcentaje de mujeres"
Présence de femmes dans des publicités pour soin du corps,Présence de femmes dans des publicités pour le soin du corps,
Présence de femmes dans des publicités pour du parfum,Présence de femmes dans des publicités pour du parfum,
Présence de femmes dans des publicités pour des jeux d'argent,Présence de femmes dans des publicités pour des jeux d'argent,
Présence de femmes dans des publicités pour des automobiles,Présence de femmes dans des publicités pour des automobiles,
"Bourse,Entreprises SBF 120, part des femmes","Bourse, Entreprises SBF 120, part des femmes",
"Bourse, Entreprises CAC 40, part des femmes","Bourse, Entreprises CAC 40, part des femmes",
"Bourse, Entreprises MIB 40, part des femmes","Bourse, Entreprises MIB 40, part des femmes",
"Bourse, Entreprises FTSE 100, part des femmes","Bourse, Entreprises FTSE 100, part des femmes",
"Bourse, Entreprises HDAX, part des femmes","Bourse, Entreprises HDAX, part des femmes",
"Direction, présidence d' établissements en spectacle vivant, part des femmes","Direction, présidence d'établissements - spectacle vivant, part des femmes",
"Direction, présidence de Musées Nationaux, part des femmes","Direction, présidence de Musées Nationaux, part des femmes",
"Direction, présidence d'entreprises de l'audiovisuel public, part des femmes","Direction, présidence d'entreprises de l'audiovisuel public, part des femmes",
"Cadres techniques, part des femmes","Cadres techniques, part des femmes",
"Direction technique natiopnale, part des femmes","Direction technique nationale, part des femmes",
"Allocataires du RSA, part des femmes","Allocataires du RSA, part des femmes",
"Bénéficiaires prime d'activité, part des femmes","Bénéficiaires prime d'activité, part des femmes",
"Assemblée Nationale, part des femmes","Assemblée Nationale, part des femmes",
"Sénat, part des femmes","Sénat, part des femmes",
"Gouvernement, part des femmes","Gouvernement, part des femmes",
"Présidences de commissions Assemblée Nationale, part des femmes","Présidences de commissions Assemblée Nationale, part des femmes",
Présidences de commissions au Sénat part des femmes,Présidences de commissions au Sénat part des femmes,
"Délégations secteur Affaires sociales et santé des conseils régionaux, part des femmes","Délégations secteur Affaires sociales et santé des conseils régionaux, part des femmes",
"Délégations secteur Education et lycée des conseils régionaux, part des femmes","Délégations secteur Education et lycée des conseils régionaux, part des femmes",
