indicator,fr,es
Pension moyenne de retraite des femmes par rapport aux hommes,Pension moyenne de retraite des femmes par rapport aux hommes,"Jubilación, promedio de mujeres con respecto a los hombres"
Salaires des femmes par rapport aux hommes,Salaires des femmes par rapport aux hommes,"Salario de mujeres con respecto al de hombres"
Salaires des femmes en équivalent temps plein par rapport aux hommes,Salaires des femmes en équivalent temps plein par rapport aux hommes,"Salario equivalente en tiempo completo de mujeres con respecto al de hombres"
"A poste et compétences égales, salaires des femmes par rapport aux hommes ","A poste et compétences égales, salaires des femmes par rapport aux hommes","Salario de mujeres con respecto al de hombres en puestos y competencias iguales"
Salaire dans la fonction publique des femmes par rapport aux hommes,Salaire dans la fonction publique des femmes par rapport aux hommes,"Salario de mujeres en la función pública con respecto al de hombres"
Part des tâches domestiques réalisées par les femmes,Part des tâches domestiques réalisées par les femmes,"Porcentaje de tareas domésticas realizadas por mujeres"
"Université Lettres, sciences humaines, part des femmes","Université Lettres, sciences humaines, part de femmes","Universidad Letras y Ciencias Humanas, porcentaje de mujeres"
"Formations paramédicales et sociales, part des femmes","Formations paramédicales et sociales, part de femmes","Formaciones paramédicas y sociales, porcentaje de mujeres"
"Université Sciences STAPS, part des femmes","Université Sciences et sport STAPS, part de femmes","Universidad Deportes, porcentaje de mujeres"
"Formations d'ingénieurs, part des femmes","Formations d'ingénieur·es, part de femmes","Ingeniería, porcentaje de mujeres"
"Sciences fondamentales et applications,  part des femmes","Sciences fondamentales et applications, part de femmes","Ciencias fundamentales y aplicaciones, porcentaje de mujeres"
"Travail secteur numérique, part des femmes","Travail secteur numérique, part de femmes","Trabajo en el sector digital, porcentaje de mujeres"
Part consacrée à la retransmission du sport féminin à la télévision,Part consacrée à la retransmission du sport féminin à la télévision,"Retransmisión del deporte femenino en la televisión"
"Expert.e.s à la télévision et à la radio, part des femmes","Expert·es à la télévision et à la radio, part de femmes","Expertos en la televisión y la radio, porcentaje de mujeres"
Présence de femmes dans des publicités pour soin du corps,Présence de femmes dans des publicités pour le soin du corps,"Presencia de mujeres en publicidades de cuidados del cuerpo"
Présence de femmes dans des publicités pour du parfum,Présence de femmes dans des publicités pour du parfum,"Presencia de mujeres en publicidades de perfumes"
Présence de femmes dans des publicités pour des jeux d'argent,Présence de femmes dans des publicités pour des jeux d'argent,"Presencia de mujeres en publicidades de juegos de dinero"
Présence de femmes dans des publicités pour des automobiles,Présence de femmes dans des publicités pour des automobiles,"Presencia de mujeres en publicidades de automóviles"
"Bourse,Entreprises SBF 120, part des femmes","Bourse, Entreprises SBF 120, part de femmes","Bolsa de valores, empresas SBF 120, porcentaje de mujeres"
"Bourse, Entreprises CAC 40, part des femmes","Bourse, Entreprises CAC 40, part de femmes","Bolsa de valores, empresas CAC 40, porcentaje de mujeres"
"Bourse, Entreprises MIB 40, part des femmes","Bourse, Entreprises MIB 40, part de femmes","Bolsa de valores, empresas MIB 40, porcentaje de mujeres"
"Bourse, Entreprises FTSE 100, part des femmes","Bourse, Entreprises FTSE 100, part de femmes","Bolsa de valores, empresas FTSE 100, porcentaje de mujeres"
"Bourse, Entreprises HDAX, part des femmes","Bourse, Entreprises HDAX, part de femmes","Bolsa de valores, empresas HDAX, porcentaje de mujeres"
"Direction, présidence d' établissements en spectacle vivant, part des femmes","Direction, présidence d'établissements - spectacle vivant, part de femmes","Dirección de establecimentos de espectáculos, porcentaje de mujeres"
"Direction, présidence de Musées Nationaux, part des femmes","Direction, présidence de Musées Nationaux, part de femmes","Dirección de museos nacionales, porcentaje de mujeres"
"Direction, présidence d'entreprises de l'audiovisuel public, part des femmes","Direction, présidence d'entreprises de l'audiovisuel public, part de femmes","Dirección de empresas del audiovisual público, porcentaje de mujeres"
"Cadres techniques, part des femmes","Cadres techniques, part de femmes","Ejecutivos técnicos, porcentaje de mujeres"
"Direction technique natiopnale, part des femmes","Direction technique nationale, part de femmes","Dirección técnicos nacionales, porcentaje de mujeres"
