annee,pays,nom,hommes,femmes
2009,France,Réalisateur·trices de courts métrages,278,115
2010,France,Réalisateur·trices de courts métrages,355,144
2011,France,Réalisateur·trices de courts métrages,309,128
2012,France,Réalisateur·trices de courts métrages,311,131
2013,France,Réalisateur·trices de courts métrages,227,106
2014,France,Réalisateur·trices de courts métrages,263,133
2015,France,Réalisateur·trices de courts métrages,227,140
2015,France,Réalisateur·trices de courts métrages animation,32,39
2015,France,Réalisateur·trices de courts métrages documentaire,24,16
2015,France,Réalisateur·trices de courts métrages expérimental,13,4
2015,France,Réalisateur·trices de courts métrages fiction,158,81
