pays,annee,nom,femmes,hommes
Colombia,2017,"Desempleo titulados postgrado","4,6","4,9"
Colombia,2017,"Desempleo titulados educación universitaria","10,9","8,5"
Colombia,2017,"Desempleo titulados educación técnica profesional y tecnológica","14,4","8,6"
Colombia,2017,"Desempleo titulados educación media","15,6","9,4"
Colombia,2017,"Desempleo titulados educación básica secundaria","13,9","8,1"
Colombia,2017,"Desempleo titulados educación básica primaria","9,9","6,1"
Colombia,2017,"Desempleo no titulados","6,8","3,5"
Colombia,2016,"Desempleo titulados postgrado","6,2","5,1"
Colombia,2016,"Desempleo titulados educación universitaria","10,5","9,2"
Colombia,2016,"Desempleo titulados educación técnica profesional y tecnológica","15,1","9,0"
Colombia,2016,"Desempleo titulados educación media","14,8","8,9"
Colombia,2016,"Desempleo titulados educación básica secundaria","13,5","8,6"
Colombia,2016,"Desempleo titulados educación básica primaria","9,8","5,8"
Colombia,2016,"Desempleo no titulados","6,8","3,8"
Colombia,2015,"Desempleo titulados postgrado","4,0","3,6"
Colombia,2015,"Desempleo titulados educación universitaria","9,7","4,0"
Colombia,2015,"Desempleo titulados educación técnica profesional y tecnológica","13,5","8,6"
Colombia,2015,"Desempleo titulados educación media","14,9","8,7"
Colombia,2015,"Desempleo titulados educación básica secundaria","13,0","7,0"
Colombia,2015,"Desempleo titulados educación básica primaria","8,0","4,4"
